,status,custid,low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,trans_days_interval_filter,trans_days_interval,regional_mobility,repayment_capability,is_high_user,number_of_trans_from_2011,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,avg_price_last_12_month,trans_top_time_last_1_month,trans_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day,first_city,second_city,third_city,foreign_city,other_city
count,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4395.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0,4405.0
mean,0.2522133938706016,1693754.984108967,0.021496027241770715,0.902717366628831,1980.4426787741204,15.0137639046538,0.8050737797956866,0.3697318955732123,28.79477866061294,21.466742338251986,2.6821793416572075,18789.457434733256,0.010442678774120319,23.091259931895575,234734.09080590238,177.9961407491487,0.4717934165720772,39450.25879682179,6.595232690124858,9439.713961407491,1236.1316685584563,7.188649262202043,20.02315550510783,0.6790011350737798,1.6735527809307604,4.590692395005675,5.271736662883088,153421.44664391354,2936.8354143019296,6.118955732122588,0.0322360953461975,1352.2043132803633,19258.21793416572,0.015209988649262202,1037.5548240635642,88.68195232690125,576.8973893303065,75.99455164585699,12.038365493757095,6.051759364358683,3.8029511918274688,16.98206583427923,4.355732122587968,8.820204313280364,12.430192962542565,543.0708286038592,75.43768444948921,36.20249716231555,31.25788876276958,2.3234960272417706,12.933030646992055,4.765947786606129,8.167082860385925,0.9725312145289444,2.837911464245176,14.022474460839955,43.420885357548244,17.82315550510783,1.2322360953461975,1.32099886492622,335.39409761634505,2093.5073779795684,72.10374574347333,8.167082860385925,8.743700340522134,3400.1135073779797,1823.538933030647,9190.011350737797,76.16708286038593,4.765947786606129,5.2649262202043134,16200.181611804768,8006.439500567537,23.90238365493757,54.84699205448354,0.7180476730987514,0.027695800227014757,0.22406356413166856,0.029284903518728717,0.0
std,0.434332387620257,1036544.4237931046,0.038235494481638245,0.13981934393230286,4012.1916395182184,720.9162818290488,0.19637975790446285,0.16966821042188146,22.482955901410254,16.075211917165472,0.8898268359538679,52998.265986670165,0.1016660004776983,10.003306827306625,326202.333618837,99.52351163158612,0.2614967016605664,103927.24287961215,1.3465483750877831,27504.331733974446,743.4585580432549,5.309756423321346,12.786122612325455,2.3023162726084556,1.9239968958322708,4.527066104858146,4.801266938803718,369746.743045952,11160.664388085805,5.750561067211711,0.49507622750456765,6785.139725427776,28500.348945832884,0.20878793131670786,537.8051202933199,18.011068697958905,51.03490199472864,4.1459485613177565,7.0380843485213855,3.8062224636160553,2.599297817677546,11.305753793830352,4.534497093202479,7.635241470356619,9.285043400938275,60.96059294537331,2.2223242072748883,24.582163902654496,21.663877265942023,3.159117327529382,7.42429616111415,2.9679522021579174,5.364739790408393,1.501110418309043,3.4679756135128543,10.827698265742534,30.30962562725985,25.163305130677166,1.9511182705193022,3.9106769359549705,35.483336607198474,701.3213024410012,10.468364047017927,5.364739790408393,5.7494942652538965,1464.4229242917704,577.0325979637967,7294.346355917651,14.251464120131072,2.9679522021579174,3.4025232096013576,14257.222143704214,5649.55600288859,37.53337002984639,53.19975652769453,0.45000131445681696,0.16411842519016331,0.41701146375087395,0.16862310881396497,0.0
min,0.0,114.0,0.0,0.0,0.0,0.0,0.12,0.041,0.0,4.0,1.0,0.0,0.0,3.0,50.0,7.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,82.0,479.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,413.0,56.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,759268.0,0.01,0.88,0.0,0.61,0.67,0.238,16.0,12.0,2.0,8600.0,0.0,16.0,82340.0,104.0,0.3,12100.0,6.0,1320.0,920.0,4.0,12.0,0.0,0.0,2.0,3.0,0.0,720.0,3.0,0.0,0.0,5540.0,0.0,632.0,82.0,535.0,74.0,7.0,3.0,2.0,9.0,1.0,3.0,6.0,493.0,74.0,18.0,15.0,0.0,7.0,2.0,4.0,0.0,0.0,6.0,21.0,3.0,0.0,0.0,330.0,1700.0,72.0,4.0,4.0,2300.0,1540.0,4800.0,77.0,2.0,3.0,7800.0,4750.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,1636943.0,0.01,0.96,600.0,0.96,0.86,0.355,23.0,17.0,3.0,12250.0,0.0,21.0,166560.0,162.0,0.4,26350.0,7.0,3380.0,1140.0,7.0,17.0,0.0,1.0,3.0,4.0,24.0,1530.0,5.0,0.0,100.0,12890.0,0.0,920.0,83.0,549.0,76.0,11.0,5.0,3.0,15.0,3.0,7.0,10.0,511.0,75.0,31.0,27.0,1.0,12.0,4.0,7.0,0.0,2.0,11.0,37.0,10.0,0.0,0.0,349.0,2100.0,74.0,7.0,8.0,3200.0,1811.0,7700.0,79.0,4.0,5.0,13800.0,7050.0,14.0,36.0,1.0,0.0,0.0,0.0,0.0
75%,1.0,2601758.0,0.02,0.99,2000.0,1.58,1.0,0.481,32.0,26.0,3.0,17750.0,0.0,29.0,302300.0,234.0,0.6,48590.0,7.0,8130.0,1390.0,10.0,25.0,1.0,2.0,6.0,6.0,74299.5,2780.0,7.0,0.0,1010.0,24050.0,0.0,1310.0,87.0,629.0,78.0,16.0,8.0,5.0,23.0,6.0,12.0,17.0,602.0,77.0,50.0,43.0,3.0,18.0,7.0,11.0,1.0,4.0,20.0,59.0,22.0,2.0,1.0,356.0,2400.0,75.0,11.0,12.0,4300.0,2100.0,11700.0,80.0,7.0,7.0,20400.0,9975.0,24.0,90.0,1.0,0.0,0.0,0.0,0.0
max,1.0,4004694.0,1.0,1.0,68000.0,47596.74,1.0,0.941,285.0,234.0,5.0,2459390.0,1.0,85.0,13601300.0,907.0,1.0,6024100.0,11.0,918450.0,23140.0,27.0,124.0,69.0,30.0,120.0,120.0,2392316.0,496010.0,147.0,30.0,238380.0,525360.0,6.0,2697.0,352.0,687.0,93.0,54.0,24.0,16.0,98.0,38.0,75.0,80.0,688.0,85.0,158.0,154.0,25.0,41.0,18.0,31.0,15.0,52.0,74.0,254.0,345.0,20.0,58.0,360.0,6900.0,89.0,31.0,32.0,10000.0,6900.0,87100.0,87.0,18.0,20.0,266400.0,82800.0,360.0,323.0,1.0,1.0,1.0,1.0,0.0
